Customer Id,Age,Edu,Years Employed,Income,Card Debt,Other Debt,DebtIncomeRatio
1,41,2,6,19,124,1073,6.3
2,47,1,26,100,4582,8218,12.8
3,33,2,10,57,6111,5802,20.9
4,29,2,4,19,681,516,6.3
5,47,1,31,253,9308,8908,7.2
6,40,1,23,81,998,7831,10.9
7,38,2,4,56,442,454,1.6
8,42,3,0,64,279,3945,6.6
9,26,1,5,18,575,2215,15.5
10,47,3,23,115,653,3947,4
11,44,3,8,88,285,5083,6.1
12,34,2,9,40,374,266,1.6
13,24,1,7,18,526,643,6.5
14,46,1,6,30,1415,3865,17.6
15,28,3,2,20,233,1647,9.4
16,24,1,1,16,185,1287,9.2
17,29,1,1,17,132,293,2.5
18,43,4,1,26,1519,1237,10.6
19,44,1,18,61,2806,3782,10.8
20,36,1,16,32,544,2944,10.9
21,29,2,6,25,585,465,4.2
22,36,3,10,43,961,4629,13
23,28,3,6,47,5574,3732,19.8
24,45,1,19,77,2303,4165,8.4
25,37,4,10,123,3022,18257,17.3
26,43,1,9,66,2341,3467,8.8
27,24,1,4,21,99,447,2.6
28,37,1,19,38,2591,2539,13.5
29,38,2,13,59,408,1008,2.4
30,34,2,9,45,1118,3427,10.1
31,40,3,18,100,1485,1015,2.5
32,42,2,12,55,2533,5717,15
33,23,2,0,42,1019,619,3.9
34,40,3,5,28,1263,1537,10
35,28,1,12,45,1854,1611,7.7
36,33,2,5,37,1029,2079,8.4
37,35,3,5,37,581,1417,5.4
38,37,1,0,18,1584,738,12.9
39,22,1,1,18,0.27,522,4.4
40,39,3,16,126,1405,7163,6.8
41,20,1,4,14,201,1157,9.7
42,48,3,17,113,3376,10184,12
43,28,2,5,34,3099,4993,23.8
44,37,5,9,177,888,9555,5.9
45,48,1,3,27,1403,4348,21.3
46,45,3,9,84,1276,9728,13.1
47,22,1,4,14,225,2225,17.5
48,30,1,4,21,229,506,3.5
49,28,1,3,19,261,518,4.1
50,29,2,10,61,798,2984,6.2
51,47,1,22,81,1506,2949,5.5
52,36,1,11,33,1266,9459,32.5
53,24,1,3,19,1358,3278,24.4
54,56,1,19,66,847,1331,3.3
55,29,3,5,70,3176,10754,19.9
56,34,1,2,25,573,2577,12.6
57,32,1,1,20,315,645,4.8
58,27,3,2,26,722,838,6
59,40,1,9,64,0.79,3434,6.6
60,50,1,11,36,835,893,4.8
61,39,1,17,60,2.45,5.77,13.7
62,34,1,18,34,2.1,3136,15.4
63,36,1,18,67,5245,2259,11.2
64,44,2,18,74,4522,5394,13.4
65,24,2,4,20,324,416,3.7
66,31,1,8,44,1721,1799,8
67,34,1,16,79,1735,1425,4
68,26,1,4,27,2472,363,10.5
69,38,1,3,23,832,2549,14.7
70,24,1,3,14,838,1416,16.1
71,30,3,8,61,0.55,1158,2.8
72,40,4,5,75,885,0.54,1.9
73,30,2,12,98,2935,4121,7.2
74,25,2,5,42,3366,3144,15.5
75,29,1,9,33,694,0.89,4.8
76,33,1,5,18,985,1337,12.9
77,43,1,8,45,677,808,3.3
78,35,2,1,21,0.37,1289,7.9
